                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72634,                 3.1724,                 1.2331,                0.66571,                0.25308,                0.40662,                0.30621,                0.66175,                 2.6447,                 1.1966,             0.00023465,             0.00023465,             0.00023465
                      2,                0.82104,                  2.242,                 1.2824,                0.60658,                0.70813,                0.68814,                0.48924,                0.86148,                 1.7831,                  1.418,             0.00046329,             0.00046329,             0.00046329
                      3,                0.85352,                 1.8752,                  1.292,                0.65745,                0.58602,                0.69077,                0.45287,                 1.0999,                 1.8928,                 1.7541,             0.00068251,             0.00068251,             0.00068251
                      4,                0.86282,                 1.8104,                 1.2995,                0.57953,                0.65405,                 0.7199,                0.49641,                0.96925,                 2.4577,                 1.5727,             0.00067159,             0.00067159,             0.00067159
                      5,                0.84669,                 1.7298,                 1.2836,                0.76276,                 0.7003,                0.80958,                0.57821,                0.88112,                 1.5489,                 1.4101,             0.00067159,             0.00067159,             0.00067159
                      6,                0.84886,                 1.6361,                 1.2776,                0.71092,                0.73268,                0.79035,                0.56071,                  1.021,                 1.5592,                 1.4901,             0.00065745,             0.00065745,             0.00065745
                      7,                0.85169,                 1.5309,                 1.2719,                0.76663,                0.68228,                0.78525,                0.54609,                0.96246,                  1.487,                 1.5393,             0.00064331,             0.00064331,             0.00064331
                      8,                0.79474,                 1.4303,                 1.2544,                0.81738,                0.76895,                0.84782,                0.62398,                0.83943,                  1.347,                 1.3486,             0.00062918,             0.00062918,             0.00062918
                      9,                0.78391,                 1.3539,                 1.2329,                0.75695,                0.77184,                0.82875,                0.60542,                0.85772,                 1.3841,                 1.3587,             0.00061504,             0.00061504,             0.00061504
                     10,                0.77574,                 1.3034,                 1.2246,                0.81616,                0.79357,                0.85508,                0.63909,                0.83708,                 1.1547,                 1.3764,              0.0006009,              0.0006009,              0.0006009
